smiles,grammar,rdkit,direction,rdkit_reason,seed
Cc1cc2c(cc1C(=C)c3ccc(cc3)C(=O)[O-])C(CCC2(C)C)3(C)C,True,False,LEAK,syntax (ring closure / parens / token),Cc1cc2c(cc1C(=C)c3ccc(cc3)C(=O)[O-])C(CCC2(C)C)(C)C
CC[NH+](CC)7CCN1c2ccc(cc2C(=NCC1=O)c3ccccc3F)Cl,True,False,LEAK,syntax (ring closure / parens / token),CC[NH+](CC)CCN1c2ccc(cc2C(=NCC1=O)c3ccccc3F)Cl
c1cc(cnc5)C(=O)[O-],True,False,LEAK,syntax (ring closure / parens / token),c1cc(cnc1)C(=O)[O-]
C[NH+]1CC[C@]23c4c5ccc(c4O[C@H]1C(=O)CC[C@]3([C@H]1C5)O)OC,True,False,LEAK,syntax (ring closure / parens / token),C[NH+]1CC[C@]23c4c5ccc(c4O[C@H]2C(=O)CC[C@]3([C@H]1C5)O)OC
Cc1cc2c(ccC(=C)c83ccc(co3)C(=O)[O-])C(CCC2(C)C)(C)C,True,False,LEAK,syntax (ring closure / parens / token),Cc1cc2c(cc1C(=C)c83ccc(co3)C(=O)[O-])C(CCC2(C)C)(C)C
c15cc(ccc1C(=O3)CC(=O)[O-])N,True,False,LEAK,syntax (ring closure / parens / token),c15cc(ccc1C(=O)NCC(=O)[O-])N
CcOC(=O)CC\CCCCCCC(C)c1cCccc1I,True,False,LEAK,aromaticity / kekulization,CCOC(=O)CCCCCCCCC(C)c1ccccc1I
CC(C=CC=9C(C=C1)C(=O)C2=CC=CS2)C(=O)O,True,False,LEAK,syntax (ring closure / parens / token),CC(C1=CC=C(C=C1)C(=O)C2=CC=CS2)C(=O)O
CC(=O)/N=c\1/n(nc(s1)s(=O)(=O)N)C,True,False,LEAK,aromaticity / kekulization,CC(=O)/N=c\1/n(nc(s1)S(=O)(=O)N)C
C[N+]1(C3CC7C1)CC2=C(N3C(C(C3=O)NC(=O)C6(=NOC)C4=CSC(=N4)N)SC2)C(=O)[O-],True,False,LEAK,syntax (ring closure / parens / token),C[N+]1(C3CC7C1)CC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)[O-]
c1ccc(cc1)C(=O8)c2cccc(c2N)CC(=O)N,True,False,LEAK,syntax (ring closure / parens / token),c1ccc(cc1)C(=O)c2cccc(c2N)CC(=O)N
CC(C)OC(=O)C(C)(C)Oc1ccc(cc)C(=O)c2ccc(cc2)Cl,True,False,LEAK,syntax (ring closure / parens / token),CC(C)6OC(=O)C(C)(C)Oc1ccc(cc)C(=O)c2ccc(cc2)Cl
c1cc(ccc1C[C@@H](C(=O3)[O-])[NH3+]5)O,True,False,LEAK,syntax (ring closure / parens / token),c1cc(ccc1C[C@@H](C(=O)[O-])[NH3+])O
CN1CC[C@@]23C=C[C@@H](C[C@@H]2OC4=C(C=CC(=C34)C)OC)O,True,False,LEAK,syntax (ring closure / parens / token),CN1CC[C@@]23C=C[C@@H](C[C@@H]2OC4=C(C=CC(=C34)C1)OC)O
c1c[5H]nc1CC[NH3+],True,False,LEAK,valence too high,c1c[nH]nc1CC[NH3+]
CC(C)(C)C(C=CC1=CC2=C(C=C1)O3CO2)O,True,False,LEAK,syntax (ring closure / parens / token),CC(C)(C)C(C=CC1=CC2=C(C=C1)OCO2)O
C1=CC(=C(C=C1)O)C(CCN(C(C)C)C(C)C)CN=CC=CC=C2,True,False,LEAK,syntax (ring closure / parens / token),CC1=CC(=C(C=C1)O)C(CCN(C(C)C)C(C)C)C2=CC=CC=C2
COC1=C(C=C(C=C1)CNC2=NC(=NC=C2C(=O)NCC3=NC=CC=N)N4CCC[C@H]4CO)Cl,True,False,LEAK,syntax (ring closure / parens / token),COC1=C(C=C(C=C1)CNC2=NC(=NC=C2C(=O)NCC3=NC=CC=N3)N4CCC[C@H]4CO)Cl
[H]/[NH+]=C(/C=CC(=O)/C(=C\C=c2ccc(=C([NH3+])N)cc2)/C=C1)\N,True,False,LEAK,syntax (ring closure / parens / token),[H]/[NH+]=C(/C1=CC(=O)/C(=C\C=c2ccc(=C([NH3+])N)cc2)/C=C1)\N
CCH(C)(C)CC(C)(C)c1ccc(cc)O,True,False,LEAK,syntax (ring closure / parens / token),CC(C)(C)CC(C)(C)c1ccc(cc1)O
C[N+]1(C3CC7C1)CC2=C(N3C(C(C3=O)NC(=O)C6(=NOC)C4=CSC(=N4)N)#SC2)C(=O)[O-],True,False,LEAK,syntax (ring closure / parens / token),C[N+]1(C3CC7C1)CC2=C(N3C(C(C3=O)NC(=O)C6(=NOC)C4=CSC(=N4)N)SC2)C(=O)[O-]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@H]#2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],True,False,LEAK,valence too high,C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+]
CCCCC(C)(C/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1C8CCCCCC(=O)OC)O)O,True,False,LEAK,syntax (ring closure / parens / token),CCCCC(C)(C/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)OC)O)O
CNS(=O)(=O)CCc1ccc2c(c1)(c[nH]2)C3CC[NH+](CC3)C,True,False,LEAK,aromaticity / kekulization,CNS(=O)(=O)CCc1ccc2c(c1)c(c[nH]2)C3CC[NH+](CC3)C
CC(=O)/N=c\n(nc(s1)S(=O)(=O)N)C,True,False,LEAK,syntax (ring closure / parens / token),CC(=O)/N=c\1/n(nc(s1)S(=O)(=O)N)C
CC[C@@H](CO)NC(=O)[C@H]1C[NH+]([C@@H]2Cc3c[nH]c4c3C(ccc4)C2=C1)C,True,False,LEAK,aromaticity / kekulization,CC[C@@H](CO)NC(=O)[C@H]1C[NH+]([C@@H]2Cc3c[nH]c4c3c(ccc4)C2=C1)C
CNC(=C[N](=O)[O-])NCC5SCC1=CSC(=N1)CN(C)C,True,False,LEAK,syntax (ring closure / parens / token),CNC(=C[N+](=O)[O-])NCCSCC1=CSC(=N1)CN(C)C
C1COCC(=O)N1C2=CC=C(C=C2)N9CC(OC3=O)CNC(=O)C4=CC=C(S4)Cl,True,False,LEAK,syntax (ring closure / parens / token),C1COCC(=O)N1C2=CC=C(C=C2)N3CC(OC3=O)CNC(=O)C4=CC=C(S4)Cl
CC(C=SCC=9C(C=C1)C(=O)C2=CC=CS2)C(=O)O,True,False,LEAK,syntax (ring closure / parens / token),CC(C=CC=9C(C=C1)C(=O)C2=CC=CS2)C(=O)O
COC1=C(C=C2C(=C1)N=5N=C2NC3=9CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,True,False,LEAK,syntax (ring closure / parens / token),COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4
C1CN8(CCC18N2C=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,True,False,LEAK,syntax (ring closure / parens / token),C1CN8(CCC1N2C=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F
CC[C@@H](CO)NC(=O)[C@H]1C[NH+]([C@@H]2C9c3c[nH]c4c3c(ccc4)C2=C1)C,True,False,LEAK,syntax (ring closure / parens / token),CC[C@@H](CO)NC(=O)[C@H]1C[NH+]([C@@H]2Cc3c[nH]c4c3c(ccc4)C2=C1)C
COc(C(Cl)Cl)(F)F,True,False,LEAK,aromaticity / kekulization,COC(C(Cl)Cl)(F)F
C[NH+]1CCC(=C2cccccc3CCc4c2nccc)CC1,True,False,LEAK,syntax (ring closure / parens / token),C[NH+]1CCC(=C2c3ccccc3CCc4c2nccc4)CC1
[H]/[NH+]=C(/C=CC(=O)nC(=C8C=c2ccc(=C([NH3+])N)cc2)/C=C1)\N,True,False,LEAK,syntax (ring closure / parens / token),[H]/[NH+]=C(/C=CC(=O)nC(=C\C=c2ccc(=C([NH3+])N)cc2)/C=C1)\N
CCCNCC(COC1=CC=CC=C1C6(=O)CCC2=CC=CC=C2)O,True,False,LEAK,syntax (ring closure / parens / token),CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O
C1CCC(C1)C(CC#N)N2C=6C(C=N2)C3=C4C=CNC4=NC=N3,True,False,LEAK,syntax (ring closure / parens / token),C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3
CC(C)CN(C[C@H]([C@H](Cc1cHcccc1)NC(=O)O[C@H]/CO[C@@H]3[C@H]2CCO3)2O)S(=O)(=O)c4ccc,True,False,LEAK,syntax (ring closure / parens / token),CC(C)CN(C[C@H]([C@H](Cc1cHcccc1)NC(=O)O[C@H]/CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)c4ccc
c61ccn2c(c1)nn(c2=O)CCC[NH+]3CCN(CC3)c4cccc(c4)Cl,True,False,LEAK,syntax (ring closure / parens / token),c1ccn2c(c1)nn(c2=O)CCC[NH+]3CCN(CC3)c4cccc(c4)Cl
C6C[C@H](CO)NC(=O)[C@H]1C[NH+]([C@@H]2Cc3c[nH]c4c3c(ccc4)C2=C1)C,True,False,LEAK,syntax (ring closure / parens / token),CC[C@@H](CO)NC(=O)[C@H]1C[NH+]([C@@H]2Cc3c[nH]c4c3c(ccc4)C2=C1)C
CC(CN1CC(=O))C(=ONC1)N2CC(=O)NC(=O)C2,True,False,LEAK,valence too high,CC(CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2
CCC(=O)OCC(=O)C1(CCC2C1(CC(C3C26CCC4=CC(=O)C=CC34C)O)C)OC(=O)OCC,True,False,LEAK,syntax (ring closure / parens / token),CCC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)C=CC34C)O)C)OC(=O)OCC
CCCC(C6)C1(C(=O)NC(=[NH+]C1=O)S)CC=C,True,False,LEAK,syntax (ring closure / parens / token),CCCC(C)C1(C(=O)NC(=[NH+]C1=O)S)CC=C
COCCOC(=O)NCCC4C[C@@H](C(=O)NCCCCCCCOP(=O)(C)O)NC(=O)OCCOC,True,False,LEAK,syntax (ring closure / parens / token),COCCOC(=O)NCCCC[C@@H](C(=O)NCCCCCCCOP(=O)(C)O)NC(=O)OCCOC
C1CCC(C1)C(CC#N)N2C=C(C=N2)C=C4C=CNC4=NC=N3,True,False,LEAK,syntax (ring closure / parens / token),C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3
CCC2CC3=C(C13(CCN2CC=C(C)C)C)C=C(C=C3)O,True,False,LEAK,syntax (ring closure / parens / token),CC1C2CC3=C(C13(CCN2CC=C(C)C)C)C=C(C=C3)O
C1CC(=O)NC(=O)C1N2C,True,False,LEAK,syntax (ring closure / parens / token),C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O
C1CN8(CCC18N2C=CC=CC=C3NC2=O)CCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,True,False,LEAK,syntax (ring closure / parens / token),C1CN8(CCC18N2C=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F
CC(C)CN(C[C@H]([C@H](Cc1cHcccc1)NC(=O)O[C@H]/8CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)c4ccc(cc4)N,True,False,LEAK,syntax (ring closure / parens / token),CC(C)CN(C[C@H]([C@H](Cc1cHcccc1)NC(=O)O[C@H]/CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)c4ccc(cc4)N
CCN1C1(=O)C(NC1=O)C=CC=CC=C2,True,False,LEAK,syntax (ring closure / parens / token),CCN1C(=O)C(NC1=O)C=CC=CC=C2
[H]/[NH+]=C(/C=CC(=O)nC(=C8C=c2cc\c(=C([NH3+])N)cc2)/C=C1)\N,True,False,LEAK,syntax (ring closure / parens / token),[H]/[NH+]=C(/C=CC(=O)nC(=C8C=c2ccc(=C([NH3+])N)cc2)/C=C1)\N
c12ccc(cc1)C(=O8)c2ccc2c(c2N)CC(=O)N,True,False,LEAK,syntax (ring closure / parens / token),c1ccc(cc1)C(=O8)c2cccc(c2N)CC(=O)N
c1cnc25c3c(cc2n1)[C@@H]4C[C@H]3C[NH2+]C4,True,False,LEAK,syntax (ring closure / parens / token),c1cnc2cc3c(cc2n1)[C@@H]4C[C@H]3C[NH2+]C4
C[2N+]1(C3CC7C1)CC2=C(N3C(C(C3=O)NC(=O)C6(=NOC)C4=C1SC(=N4)N)#SC2)C(=O)[O-],True,False,LEAK,syntax (ring closure / parens / token),C[N+]1(C3CC7C1)CC2=C(N3C(C(C3=O)NC(=O)C6(=NOC)C4=CSC(=N4)N)#SC2)C(=O)[O-]
CCOc1nc26ccc(c2n1Cc3ccc(cc3)c4ccccc4c5[nH]oc(=O)4n5)C(=O)OCc6c(oc(=O)o6)C,True,False,LEAK,syntax (ring closure / parens / token),CCOc1nc2cccc(c2n1Cc3ccc(cc3)c4ccccc4c5[nH]oc(=O)n5)C(=O)OCc6c(oc(=O)o6)C
C[C@]12C[C@@H]([C@H]C[C@H]([C@@H]1CC[C@@]2(C(=O)COC(=O)CC(C)(C)C)O)CCC4=CFC(=O)C=C[C@]34C)O,True,False,LEAK,syntax (ring closure / parens / token),C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)COC(=O)CC(C)(C)C)O)CCC4=CC(=O)C=C[C@]34C)O
CN1CC[C@@]23C=C[C@@H](C[C@@H]2OC4=C(C=C(=C34)C)OC)O,True,False,LEAK,syntax (ring closure / parens / token),CN1CC[C@@]23C=C[C@@H](C[C@@H]2OC4=C(C=CC(=C34)C)OC)O
CN1CCN(CC1)CCC=C2C3=CC=CC=CSC4=C2C=C(C=C4)S(=O)(=O)N(C)C,True,False,LEAK,syntax (ring closure / parens / token),CN1CCN(CC1)CCC=C2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C
C1CN8(CCC18N2C=CC=CC=C3NC2=O)CCCC(C45=CC=C(C=C4)F)C5=CC=C(C=C5)F,True,False,LEAK,syntax (ring closure / parens / token),C1CN8(CCC18N2C=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F
CCH(C)(C)CC(C)(C)1Cccc(cc)O,True,False,LEAK,syntax (ring closure / parens / token),CCH(C)(C)CC(C)(C)c1ccc(cc)O
CCCCOc1cc(ccc1N)C(=O)OCC[NH+]2(CC)CC,True,False,LEAK,syntax (ring closure / parens / token),CCCCOc1cc(ccc1N)C(=O)OCC[NH+](CC)CC
Cc1ccc6c(c1)C[NH+]2CCN(CC2)C(c3ccccc3)c4ccc(cc4)Cl,True,False,LEAK,syntax (ring closure / parens / token),Cc1cccc(c1)C[NH+]2CCN(CC2)C(c3ccccc3)c4ccc(cc4)Cl
CN(C)NN=CC(=NC=N16)C(=O)N,True,False,LEAK,syntax (ring closure / parens / token),CN(C)NN=C1C(=NC=N1)C(=O)N
CC1=C(=C(=C2CCC(OC2=C1C)(C)COC3=CC=FC(C=C3)CC4C(=O)NC(=O)S4)C)O,True,False,LEAK,valence too high,CC1=C(C(=C2CCC(OC2=C1C)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C)O
[H]/[NH+]=C(/C=CC(=O)nC(=C8C=c2cc\c(=C([NH+])N)cc2)/C=C)\N,True,False,LEAK,syntax (ring closure / parens / token),[H]/[NH+]=C(/C=CC(=O)nC(=C8C=c2cc\c(=C([NH3+])N)cc2)/C=C1)\N
CN(C6)CCCN1C2=CC=CC=C2CCC3=Co=CC=C31,True,False,LEAK,syntax (ring closure / parens / token),CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31
